id,name,position,company,category,data_name
1,Anastasia Stasenko,"Co-Founder & Chief Executive Officer (Co-Founder & CEO)","Pleias",Industry,anastasia stasenko
2,Aarthi Subramanian,"Chief Operating Officer (COO) and Executive Director","Tata Consultancy Services",Industry,aarthi subramanian
3,Anne Neuberger,"Strategic Advisor","Andreessen Horowitz (a16z)",Industry,Anne Neuberger
4,Aparna Bawa,"Chief Operating Officer (COO)","Zoom",Industry,Aparna Bawa
5,Burkhard Boeckem,"Chief Technology Officer (CTO)","Hexagon AB",Industry,Burkhard Boeckem
6,Cristiano Amon,"Chief Executive Officer (CEO)","Qualcomm",Industry,Cristiano Amon
7,Demis Hassabis,"Co-founder & Chief Executive Officer (CEO)","Google DeepMind",Industry,Demis Hassabis
8,Giordano (Gio) Albertazzi,"Chief Executive Officer (CEO)","VERTIV",Industry,Giordano (Gio) Albertazzi
9,Ivana Bartoletti,"Vice President","Wipro",Industry,Ivana Bartoletti
10,Jason Oxman,"President and CEO","Information Technology Industry Council (ITI)",Industry,Jason Oxman
11,Jeetu Patel,"President & Chief Product Officer","Cisco",Industry,Jeetu Patel
12,Jeff (Jeffrey) Shapiro,"Chief Executive Officer (CEO)","Scanline VFX",Industry,Jeff (Jeffrey) Shapiro
13,Jensen Huang,"Founder, President & Chief Executive Officer (CEO)","NVIDIA",Industry,Jensen Huang
14,K Krithivasan,"Chief Executive Officer (CEO) and Managing Director","Tata Consultancy Services",Industry,K Krithivasan
15,Mukesh Ambani,"Chairman & Managing Director (Chairman & MD)","Reliance Industries Limited",Industry,Mukesh Ambani
16,Nandan Nilekani,"Co-Founder and Chairman","Infosys Technologies Limited",Industry,Nandan Nilekani
17,Olivier Blum,"Chief Executive Officer (CEO)","Schneider Electric",Industry,Olivier Blum
18,Roy Jakobs,"Chief Executive Officer (CEO)","Royal Philips",Industry,Roy Jakobs
19,Dario Amodei,"Chief Executive Officer (CEO)","Anthropic",Industry,Dario Amodei
20,Vijay Guntur,"Chief Technology Officer (CTO)","HCL Tech",Industry,Vijay Guntur
21,Ajay Vij,"Senior Country Managing Director","Accenture India",Industry,Ajay Vij
22,Akhilesh Tuteja,"Head of Clients & Industries","KPMG India",Industry,Akhilesh Tuteja
23,C Vijayakumar,"CEO & Managing Director","HCLTech",Industry,C Vijayakumar
24,David Zapolsky,"Chief Global Affairs and Legal Officer","Amazon",Industry,David Zapolsky
25,Jay Chaudhry,"Chief Executive Officer (CEO), Chairman, and Founder","Zscaler",Industry,Jay Chaudhry
26,Mike Haley,"Senior Vice President, Research","Autodesk",Industry,Mike Haley
27,Nikesh Arora,"Chairman and Chief Executive Officer (CEO)","Palo Alto Networks",Industry,Nikesh Arora
28,Pallavi Mahajan,"Global Chief Technology and AI Officer","Nokia",Industry,Pallavi Mahajan
29,Roshni Nadar Malhotra,"Chairperson","HCLTech",Industry,Roshni Nadar Malhotra
30,Ruchika Panesar,"Chief Information Officer (CIO), Group COO","NatWest Group",Industry,Ruchika Panesar
31,Natalie Black,"Group Director (Communications & Networks) and Executive Board Member","Ofcom",Industry,Natalie Black
32,Richard Marko,"Chief Executive Officer (CEO)","ESET",Industry,Richard Marko
33,Dame Melanie Dawes,"Chief Executive","Ofcom",Industry,Dame Melanie Dawes
34,Harita Gupta,"Head of Global Experience","Sutherland Global",Industry,Harita Gupta
35,Prativa Mohapatra,"Managing Director","Adobe India",Industry,Prativa Mohapatra
36,Prith Banerjee,"Senior Vice President of Innovation","Synopsys",Industry,Prith Banerjee
37,Sundar Pichai,"CEO","Google and Alphabet",Industry,Sundar Pichai
38,Victoria Espinel,"CEO","Business Software Alliance",Industry,Victoria Espinel
39,Sameer Jain,"Founder & CEO","Net Solutions",Industry,Sameer Jain
40,Santhosh Viswanathan,"MD & Vice President, India region","Intel",Industry,Santhosh Viswanathan
41,Alexandr Wang,"Chief AI Officer","Meta",Industry,Alexandr Wang
42,Amit Zavery,"President, Chief Product Officer and Chief Operating Officer","Servicenow",Industry,Amit Zavery
43,Natarajan Chandrasekaran,"Chairman","Tata Sons",Industry,Natarajan Chandrasekaran
44,Rahul Singh,"COO - Corporate Functions","HCLTech",Industry,Rahul Singh
45,Sunil Bharti Mittal,"Founder and Chairman","Bharti Enterprises",Industry,Sunil Bharti Mittal
46,Matthew Prince,"Co-Founder and CEO","Cloudflare",Industry,Matthew Prince
47,Borje Ekholm,"President & CEO","Ericsson Group",Industry,Borje Ekholm
48,Erik Ekudden,"Chief Technology Officer (CTO)","Ericsson",Industry,Erik Ekudden
49,James Manyika,"President, Research","Labs, Technology & Society, Google and Alphabet",Industry,James Manyika
50,Kunal Bahl,"Joint Managing Director","Acevector",Industry,Kunal Bahl
51,Rajesh Subramaniam,"CEO & President","FedEx",Industry,Rajesh Subramaniam
52,Harshil Mathur,"CEO and Co-Founder","Razorpay",Industry,Harshil Mathur
53,Ibrahim Hafeezur Rehman,"Officiating Director-General","NAMTECH",Industry,Ibrahim Hafeezur Rehman
54,Jorge Solis,"CEO","Soufflet Malt",Industry,Jorge Solis
55,Julie Sweet,"Chair & CEO","Accenture",Industry,Julie Sweet
56,Lars Reger,"Executive Vice President and Chief Technology Officer","NXP Semiconductors",Industry,Lars Reger
57,Sanjay Sharma,"Vice President","ArcelorMittal",Industry,Sanjay Sharma
58,Ana Paula Assis,"Senior Vice President & Chair Asia Pacific and EMEA","IBM Corporation",Industry,Ana Paula Assis
59,Anne Robinson,"Senior Vice President & Chief Legal Officer","IBM Corporation",Industry,Anne Robinson
60,Brad Smith,"President & Vice Chair","Microsoft",Industry,Brad Smith
61,Salil Parekh,"CEO & MD","Infosys",Industry,Salil Parekh
62,BVR Mohan Reddy,"Founder & Chairman","Cyient Ltd",Industry,BVR Mohan Reddy
63,Martin Schroeter,"Chairman & CEO","Kyndryl",Industry,Martin Schroeter
64,Amanda Brock,"Chief Executive Officer (CEO)","OpenUK",Academia & Civil Society,Amanda Brock
65,Anna Tumadóttir,"Chief Executive Officer (CEO)","Creative Commons",Academia & Civil Society,Anna Tumadóttir
66,Bill Gates,"Chair","Gates Foundation",Academia & Civil Society,Bill Gates
67,Børge Brende,"President and CEO","World Economic Forum",Academia & Civil Society,Børge Brende
68,J. Trevor Hughes,"President & CEO","IAPP",Academia & Civil Society,J. Trevor Hughes
69,Prof. Raj Reddy,"Professor, Computer Science and Robotics in the School","Computer Science,Carnegie Mellon University",Academia & Civil Society,Prof. Raj Reddy
70,Mustafa Furniturewala,"Chief Technology Officer (CTO)","Coursera",Academia & Civil Society,Mustafa Furniturewala
71,Carme Artigas Brugal,"Senior Fellow","Harvard Belfer Center & ADIALab (UAE)",Academia & Civil Society,Carme Artigas Brugal
72,Eric Grimson,"Chancellor for Academic Advancement, Massachusetts Institute","Technology",Academia & Civil Society,Eric Grimson
73,Nikhila Natarajan,"Adjunct Professor - School of Communication and Information, Rutgers, The State University","New Jersey",Academia & Civil Society,Nikhila Natarajan
74,Rao Charagondla,"Chief Financial Officer","IIT Bay Area Alumni",Academia & Civil Society,Rao Charagondla
75,Fei Fei Li,"Professor of Computer Science Stanford University","",Academia & Civil Society,Fei Fei Li
76,Stuart J Russel,"Professor, University","California, Berkeley",Academia & Civil Society,Stuart J Russel
77,Yoshua Bengio,"Founder & Chair","Mila Institute",Academia & Civil Society,Yoshua Bengio
78,Dr. Bonnie Kruft,"Partner & Dy. Director","Microsoft Research",Other,Dr. Bonnie Kruft
79,Dr. Pushmeet Kohli,"VP of Science","Google DeepMind",Other,Dr. Pushmeet Kohli
80,Dr. Sara Hooker,"Co-Founder","Adaption Labs",Other,Dr. Sara Hooker
81,Kalyan Kumar,"Chief Product Officer","HCL Software",Other,Kalyan Kumar
82,Prof. Alison Noble,"Professor of Engineering, University","Oxford",Other,Prof. Alison Noble
83,Prof. Dame Wendy Hall,"Professor of Computer Science, University","Southampton",Other,Prof. Dame Wendy Hall
